gene	ratio	p-value
Slc4a1	0.157422648905	0.000159079103191
Lgals9	4.1453368389	0.000283539161586
Slc25a37	0.418091034644	0.000298221871959
Gm13157	6.03903980298	0.000628717289122
Tubb1	0.0500936071348	0.000805607575305
Trp53inp2	0.255853956282	0.000881597753074
Nudt18	0.428323191847	0.000887221041571
Capn5	0.070909978424	0.000901482237129
Mir3062	39.6430134871	0.000918606220179
Rab3il1	0.176682221439	0.00108810439271
Crlf1	0.0671292176513	0.00112341680634
Tmem184a	0.113134193892	0.00132452362669
Samsn1	6.70106578868	0.00142363234253
Sigmar1	2.89478949558	0.00180406050306
Bzw2	3.33210792321	0.00181047486081
Tcp11l1	0.254749712402	0.00182162194573
Bri3bp	3.09898317144	0.00187211706946
Crat	0.442213185623	0.00187360309106
2310046K01Rik	0.0296002034945	0.00196191383696
